supervisor_district_2012,property_location,parcel_number,block,lot,volume_number,use_code,use_definition,property_class_code,property_class_code_definition,year_property_built,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_of_stories,number_of_units,closed_roll_year,zoning_code,construction_type,lot_depth,lot_frontage,property_area,basement_area,lot_area,lot_code,the_geom,tax_rate_area_code,percent_of_ownership,exemption_code,exemption_code_definition,status_code,misc_exemption_value,homeowner_exemption_value,current_sales_date,assessed_fixtures_value,assessed_improvement_value,assessed_land_value,assessed_personal_property_value,assessor_neighborhood_district,assessor_neighborhood_code,assessor_neighborhood,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of,row_id,total_assessed_value,property_price_per_sqft
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2014,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,14177853.0,15359345.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20140963039,29537198.0,2059.4894714823595
6.0,0000 0181 FREMONT             ST0070,3719518,3719,518,25.0,SRES,Single Family Residential,Z,Condominium,2018.0,5.0,5.0,13.0,1.0,0.0,2018,,,0.0,0.0,6941.0,0.0,0.0,,POINT (-122.39534349149599 37.78975182305658),1016.0,1.0,,,,0.0,0.0,,0.0,25105987.0,4354253.0,0.0,9.0,9B,Financial District South,6.0,Financial District/South Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20183719518,29460240.0,4244.379772367094
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2013,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,14113777.0,15289929.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20130963039,29403706.0,2050.1817040859014
2.0,0000 3277 PACIFIC             AV0000,0973039,0973,039,7.0,SRES,Single Family Residential,D,Dwelling,1994.0,5.0,6.0,20.0,3.0,1.0,2016,RH1,D,27.83,0.0,15858.0,4339.0,14061.3,R,POINT (-122.44889697039633 37.7912741928091),1000.0,1.0,,,,0.0,0.0,2005-10-25T00:00:00.000,0.0,11749729.0,17316153.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20160973039,29065882.0,1832.8844747130786
2.0,0000 3524 JACKSON             ST0000,0970003,0970,003,7.0,SRES,Single Family Residential,D,Dwelling,1910.0,6.0,5.0,13.0,4.0,1.0,2022,RH1,D,27.69,0.0,8065.0,1951.0,5746.05,R,POINT (-122.45293454983471 37.7904044260735),1000.0,1.0,,,,0.0,0.0,2021-07-12T00:00:00.000,0.0,11600000.0,17400000.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220970003,29000000.0,3595.7842529448235
2.0,0000 0037 RAYCLIFF            TE0000,0962008D,0962,008D,7.0,SRES,Single Family Residential,D,Dwelling,2002.0,7.0,6.0,14.0,4.0,1.0,2009,RH1D,D,17.19,0.0,11558.0,1070.0,7095.85,R,POINT (-122.44295190568971 37.792975958199406),1000.0,1.0,,,,0.0,0.0,2008-09-05T00:00:00.000,0.0,8700000.0,20300000.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20090962008D,29000000.0,2509.0846167156947
2.0,0000 2901 BROADWAY              0000,0964001,0964,001,7.0,SRES,Single Family Residential,D,Dwelling,1927.0,7.0,7.0,12.0,3.0,1.0,2015,RH1D,D,0.0,0.0,6848.0,0.0,16570.0,,POINT (-122.44511502390264 37.792679460959405),1000.0,1.0,,,,0.0,0.0,2012-12-07T00:00:00.000,0.0,8683575.0,20261676.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20150964001,28945251.0,4226.818195093458
2.0,0000 0037 RAYCLIFF TER/2799 BR  0000,0962008D,0962,008D,7.0,SRES,Single Family Residential,D,Dwelling,2002.0,7.0,6.0,14.0,4.0,1.0,2010,RH1D,D,17.19,0.0,11558.0,1070.0,7095.85,R,POINT (-122.44295190568971 37.792975958199406),1000.0,1.0,,,,0.0,0.0,2008-09-05T00:00:00.000,0.0,8679381.0,20251889.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20100962008D,28931270.0,2503.1380861740786
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2012,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,13837037.0,14990127.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20120963039,28827164.0,2009.9821503277087
2.0,0000 3760 WASHINGTON          ST0000,0988015,0988,015,7.0,SRES,Single Family Residential,D,Dwelling,1926.0,6.0,0.0,24.0,3.0,1.0,2022,RH1,C,0.0,0.0,10351.0,1843.0,11173.0,O,POINT (-122.45504347285231 37.78923182978957),1000.0,1.0,,,,0.0,0.0,2019-03-07T00:00:00.000,0.0,9272069.0,19499361.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220988015,28771430.0,2779.57975074872
